month,share_funds,n,share_tna,share_funds_official,n_official
1997-09-30,0.04873853211009174,1744,0.25727470078622494,0.06283662477558348,557.0
1997-12-31,0.06386014983945773,2803,0.23214032468556184,0.04932182490752158,811.0
1998-03-31,0.07061503416856492,2195,0.28683812217761145,0.07439198855507868,699.0
1998-06-30,0.0712015257469803,3146,0.2533025480422636,0.07765830346475508,837.0
1998-09-30,0.08983180428134556,2616,0.3832079082483495,0.105,800.0
1998-12-31,0.08630586305863058,4878,0.3822945515325073,0.1091703056768559,916.0
1999-03-31,0.10180372974625497,3271,0.33196491670461575,0.16963064295485636,731.0
1999-06-30,0.11365244046215515,4241,0.37079608726606955,0.14039125431530494,869.0
1999-09-30,0.11739974126778784,3092,0.34103386439254924,0.1409090909090909,880.0
1999-12-31,0.13561776061776062,6216,0.32449434384150977,0.1913214990138067,1014.0
2000-03-31,0.13419658622719247,5097,0.27242138462466925,0.20218579234972678,915.0
2000-06-30,0.1537084017310849,6701,0.313699417319121,0.20615671641791045,1072.0
2000-09-30,0.15431828145550197,4562,0.285393941750469,0.2067099567099567,924.0
2000-12-31,0.1422232601588043,8564,0.3437919677436608,0.19285714285714287,1120.0
2001-03-31,0.16288252714708787,4052,0.30274163402913806,0.19136522753792298,857.0
2001-06-30,0.15939366100137806,6531,0.37984725444406187,0.20665322580645162,992.0
2001-09-30,0.16039644012944984,4944,0.4011304832532964,0.18703007518796994,1064.0
2001-12-31,0.1462508444044134,8882,0.41430673430851583,0.19868173258003766,1062.0
2002-03-31,0.17130620985010706,4670,0.3503351016670064,0.1774193548387097,1116.0
2002-06-30,0.15503775058578495,7682,0.39454847075558436,0.1778688524590164,1220.0
2002-09-30,0.15689547256415606,4793,0.380084896080898,0.18968871595330739,1028.0
2002-12-31,0.14406496829458226,8989,0.4064152338996787,0.1886625332152347,1129.0
2003-03-31,0.18050866531622778,4443,0.37311043450974185,0.21421800947867298,1055.0
2003-06-30,0.15950155763239876,8025,0.38336123326366917,0.19085173501577288,1268.0
2003-09-30,0.16986564299424184,5210,0.32604492420137715,0.18518518518518517,1188.0
2003-12-31,0.12517874821251787,9091,0.3599881982045457,0.18216756341275941,1301.0
2004-03-31,0.15117289313640314,4604,0.3700701938359428,0.15593220338983052,1180.0
2004-06-30,0.11589682063587282,8335,0.38115680217538084,0.1498422712933754,1268.0
2004-09-30,0.11960871498443752,6747,0.38934677930947587,0.14747474747474748,1485.0
2004-12-31,0.09861741196802765,9258,0.36556482133685636,0.14027777777777778,1440.0
2005-03-31,0.10592323964944092,6618,0.3851384867837849,0.13178294573643412,1419.0
2005-06-30,0.09315251222765673,8996,0.30488179314662117,0.12439862542955327,1455.0
2005-09-30,0.08691660290742158,6535,0.30834242657186517,0.10054347826086957,1472.0
2005-12-31,0.07153863086066475,9086,0.2993356908647631,0.11611374407582939,1266.0
2006-03-31,0.07303523035230353,7380,0.31384004271721366,0.09550561797752809,1424.0
2006-06-30,0.0594089883028935,9746,0.29181111100852747,0.09319727891156462,1470.0
2006-09-30,0.06713928273561301,7194,0.3041602137226555,0.0924775707384403,1449.0
2006-12-31,0.06133220732608466,9473,0.3576957040272079,0.0931899641577061,1395.0
2007-03-31,0.06228082480011222,7129,0.2470656450646805,0.08917682926829268,1312.0
2007-06-30,0.06139811398113981,9756,0.34137167309898353,0.10081541882876205,1349.0
2007-09-30,0.07526881720430108,7347,0.39395711865664834,0.09792284866468842,1348.0
2007-12-31,0.07316326530612245,9800,0.35973146103230075,0.10727141828653708,1389.0
2008-03-31,0.08446455505279035,6630,0.4056121912385257,0.10189228529839883,1374.0
2008-06-30,0.07023622047244095,9525,0.34529250190943017,0.11376292760540971,1257.0
2008-09-30,0.08979875086745316,7205,0.3877692808527672,0.11165730337078651,1424.0
2008-12-31,0.09197080291970802,8220,0.3659299856901783,0.1448445171849427,1222.0
2009-03-31,0.11659933896437752,5446,0.43193019397449023,0.14934497816593886,1145.0
2009-06-30,0.08872525350072429,8284,0.4407923356812883,0.14557485525227462,1209.0
2009-09-30,0.10548686244204018,5176,0.4420366755690422,0.13580246913580246,891.0
