rule,hold_years,hold_year,n_funds,period_return_pct,wealth_10k
R3_whole_universe,3,2002,2312,-25.495,27880.562
R3_whole_universe,3,2005,2703,59.337,44423.913
R3_whole_universe,3,2008,2687,-24.066,33732.763
R3_whole_universe,3,2011,2816,50.49,50764.329
R3_whole_universe,3,2014,2557,54.951,78659.667
R3_whole_universe,3,2017,2667,25.826,98974.485
R3_whole_universe,3,2020,2874,31.535,130186.208
R3_whole_universe,3,2023,2629,16.623,151827.369
R3_whole_universe,3,2026,2512,44.915,220020.696
R3_whole_universe,5,1995,26,95.362,19536.159
R3_whole_universe,5,2000,1394,93.795,37860.158
R3_whole_universe,5,2005,2425,15.423,43699.282
R3_whole_universe,5,2010,2687,18.007,51568.429
R3_whole_universe,5,2015,2615,47.986,76313.985
R3_whole_universe,5,2020,2788,70.14,129840.579
R3_whole_universe,5,2025,2629,51.677,196938.557
R3_whole_universe,5,2030,2265,11.43,219449.487
